Date,Spot
2019-02-20,143.93774305555598
2019-02-21,144.126111111111
2019-02-22,145.796736111111
2019-02-23,149.54892361111098
2019-02-24,152.482638888889
2019-02-25,137.256423611111
2019-02-26,135.887048611111
2019-02-27,135.586041666667
2019-02-28,135.627118055556
2019-03-01,135.448958333333
2019-03-02,132.852986111111
2019-03-03,132.291736111111
2019-03-04,126.124826388889
2019-03-05,130.304409722222
2019-03-06,136.427604166667
2019-03-07,137.018680555556
2019-03-08,135.653923611111
2019-03-09,135.725798611111
2019-03-10,134.978229166667
2019-03-11,132.851006944444
2019-03-12,131.837604166667
2019-03-13,131.507673611111
2019-03-14,131.24840277777798
2019-03-15,133.972152777778
2019-03-16,140.221180555556
2019-03-17,138.167222222222
2019-03-18,137.62784722222202
2019-03-19,137.429201388889
2019-03-20,137.46173611111098
2019-03-21,136.873645833333
2019-03-22,135.626111111111
2019-03-23,136.339331597222
2019-03-24,135.564375
2019-03-25,134.288229166667
2019-03-26,132.94045138888902
2019-03-27,137.100694444444
2019-03-28,137.585868055556
2019-03-29,139.565729166667
2019-03-30,142.139201388889
2019-03-31,141.0
2019-04-01,141.603541666667
2019-04-02,152.998958333333
2019-04-03,169.938611111111
2019-04-04,160.26663194444401
2019-04-05,163.074479166667
2019-04-06,165.20461805555598
2019-04-07,168.534131944444
2019-04-08,180.57875
2019-04-09,177.521701388889
2019-04-10,179.86635416666698
2019-04-11,167.961140789075
2019-04-12,164.39185859173799
2019-04-13,164.273506944444
2019-04-14,164.004513888889
2019-04-15,165.217222222222
2019-04-16,163.186875
2019-04-17,166.322743055556
2019-04-18,172.472752238401
2019-04-19,172.573681795129
2019-04-20,173.961840277778
2019-04-21,170.402743055556
2019-04-22,170.851006944444
2019-04-23,173.53444055944095
2019-04-24,165.91326388888902
2019-04-25,163.128229166667
2019-04-26,152.0625
2019-04-27,154.50159722222202
2019-04-28,154.84784722222201
2019-04-29,152.819652777778
2019-04-30,156.006048951049
2019-05-01,159.135104166667
2019-05-02,158.403993055556
2019-05-03,163.578402777778
2019-05-04,162.536388888889
2019-05-05,161.390694444444
2019-05-06,165.033333333333
2019-05-07,174.434618055556
2019-05-08,167.997118055556
2019-05-09,169.030173611111
2019-05-10,172.414583333333
2019-05-11,186.838784722222
2019-05-12,191.572048611111
2019-05-13,194.496145833333
2019-05-14,207.345625
2019-05-15,233.429548611111
2019-05-16,261.08684027777804
2019-05-17,238.468055555556
2019-05-18,238.3596875
2019-05-19,253.877291666667
2019-05-20,249.57534722222198
2019-05-21,253.664034440931
2019-05-22,253.754270833333
2019-05-23,240.958298611111
2019-05-24,249.651944444444
2019-05-25,252.241527777778
2019-05-26,252.701944444444
2019-05-27,269.085208333333
2019-05-28,270.6803125
2019-05-29,269.238298611111
2019-05-30,275.323090277778
2019-05-31,257.504444444444
2019-06-01,267.81409722222196
2019-06-02,268.703611111111
2019-06-03,262.337326388889
2019-06-04,244.64177083333303
2019-06-05,243.879131944444
2019-06-06,244.1021875
2019-06-07,249.084861111111
2019-06-08,246.994479166667
2019-06-09,238.31506944444402
2019-06-10,239.544722222222
2019-06-11,243.873055555556
2019-06-12,251.32309027777802
2019-06-13,259.588506944444
2019-06-14,256.680381944444
2019-06-15,266.230729166667
2019-06-16,270.98399305555597
2019-06-17,271.632326388889
2019-06-18,267.263680555556
2019-06-19,267.097534722222
2019-06-20,269.312593452411
2019-06-21,286.788645833333
2019-06-22,306.53625
2019-06-23,310.956875
2019-06-24,307.047152777778
2019-06-25,311.435555555556
2019-06-26,335.09784722222196
